ID,Group,Feature_1,Feature_2,Feature_3
ID874,B,2842.051019357532,395.0994020627102,5691.008395669408
ID664,A,2592.014434717725,369.4859209620065,5908.21537126514
ID249,B,2424.4162327951326,409.89886704720766,4851.926391126826
ID643,A,2788.455407824815,388.0587733838886,6424.413850144338
ID952,C,2845.8556652153547,412.8766011108011,-2420.7651692905397
ID968,A,2233.9229118239446,389.2856228327578,4751.851236030316
ID256,C,2576.5361235966725,401.0717308470192,-2170.3145070967394
ID789,A,2792.6468885399786,397.17299920228726,6383.610027257554
ID659,C,3201.091733639999,423.93367200478883,-2782.240761643873
ID714,C,2547.376405204454,435.49260617958043,-2094.8699690661333
ID875,C,2180.771865969484,419.67560441537825,-1770.087007031467
ID681,C,2003.7027512276713,395.44523302400864,-1596.5830791158075
ID650,C,2336.674389846304,413.11765247686515,-1927.6233438275901
ID917,C,2955.9425377995026,408.7880617299203,-2562.78388557131
ID119,A,2430.6745489417717,399.89788118295206,5299.6172480964415
ID422,B,3088.0197340486457,408.957488361557,6158.388659877444
ID480,B,2348.984255643474,415.32598420535896,4684.284335511936
ID660,B,2851.9864753075735,405.2020129829267,5714.539504312488
ID940,C,2169.129956993703,424.7617454267822,-1737.1905659383328
ID605,C,2718.28959369157,396.00490070379374,-2316.527874094451
ID423,C,2781.5162915083697,421.2770833852528,-2363.68587267835
ID398,B,2199.7615611776982,399.1497478292862,4415.825756120602
ID504,A,2286.929558889397,407.9624195866513,4827.8120537987625
ID538,B,2590.8259211346704,390.2284485799871,5192.499831586549
ID337,A,2731.4716550043686,388.6174470684787,6245.00124737536
ID474,C,2344.9109865125624,405.77817585871634,-1948.4013718085312
ID662,C,2331.0350163902126,377.69539462282853,-1942.513404533749
ID834,C,2859.267685462361,394.60448886983784,-2466.8991668601902
ID258,C,2159.781876803056,392.9031489462956,-1774.9483237090453
ID959,B,2702.3623744302317,406.1005388399018,5385.9384806836115
ID316,A,2397.3997428451275,378.8185511889193,5324.148683853708
ID641,C,2197.7951616632363,395.5363622481849,-1824.134757973258
ID947,C,2609.0051933424343,406.6662867478594,-2210.909360831549
ID858,C,2585.8967389011186,417.512796741405,-2172.257761517965
ID581,C,2029.1453189768508,427.0137977538025,-1605.8731645703915
